"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"64",NA,"Main_RecrDev_1964",0.0120845,0.0192916,0.0237688,0.0364733,0.0364977,-0.0155151,0.0255356,0.0202851,0.0229294,0.038183,NA,0.0120845,0.0120845,0.0291599,0.0109281
"65",NA,"Main_RecrDev_1965",0.0434886,0.0477183,0.0567244,0.0705502,0.0701354,0.0212511,0.0614385,0.0557958,0.059894,0.0717251,NA,0.0434886,0.0434886,0.0622033,0.0436824
"66",NA,"Main_RecrDev_1966",0.0879191,0.0882562,0.108148,0.122497,0.120971,0.0777923,0.115874,0.110052,0.114711,0.118635,NA,0.0879191,0.0879191,0.108627,0.0895139
"67",NA,"Main_RecrDev_1967",0.153737,0.149076,0.184072,0.198937,0.195781,0.159678,0.195293,0.189159,0.194115,0.188485,NA,0.153737,0.153737,0.177737,0.156715
"68",NA,"Main_RecrDev_1968",0.238557,0.228411,0.27623,0.293612,0.288761,0.257508,0.291968,0.284644,0.291517,0.280191,NA,0.238557,0.238557,0.268273,0.244021
"69",NA,"Main_RecrDev_1969",0.313559,0.29738,0.345141,0.368758,0.363443,0.330962,0.367298,0.357553,0.371077,0.365637,NA,0.313559,0.313559,0.351421,0.320677
"70",NA,"Main_RecrDev_1970",0.313991,0.295454,0.320611,0.350511,0.347988,0.311777,0.347131,0.335572,0.359279,0.371054,NA,0.313991,0.313991,0.35559,0.32164
"71",NA,"Main_RecrDev_1971",0.22511,0.206173,0.204246,0.235336,0.234786,0.204464,0.231657,0.220081,0.248832,0.277176,NA,0.22511,0.22511,0.262783,0.232315
"72",NA,"Main_RecrDev_1972",0.109841,0.0890918,0.0680734,0.0981499,0.0978255,0.0810108,0.0966112,0.0850351,0.115629,0.15596,NA,0.109841,0.109841,0.142835,0.116942
"73",NA,"Main_RecrDev_1973",0.0218805,-0.0023819,-0.0373212,-0.0075265,-0.00830141,-0.00878619,-0.00587983,-0.0183503,0.0143741,0.0651146,NA,0.0218805,0.0218805,0.0525257,0.0295573
"74",NA,"Main_RecrDev_1974",-0.0242397,-0.0520077,-0.0995562,-0.0680879,-0.0687454,-0.0529079,-0.0635065,-0.0777607,-0.0401855,0.0183465,NA,-0.0242397,-0.0242397,0.00582943,-0.0154027
"75",NA,"Main_RecrDev_1975",-0.0474269,-0.0782405,-0.138131,-0.102556,-0.103191,-0.0718664,-0.0966054,-0.11315,-0.0684903,-0.00543727,NA,-0.0474269,-0.0474269,-0.017702,-0.0371089
"76",NA,"Main_RecrDev_1976",-0.0907049,-0.122785,-0.194428,-0.154103,-0.154619,-0.110388,-0.148856,-0.167135,-0.115307,-0.0516193,NA,-0.0907049,-0.0907049,-0.0627801,-0.0793713
"77",NA,"Main_RecrDev_1977",-0.179923,-0.210935,-0.291815,-0.250059,-0.249613,-0.194832,-0.245762,-0.264081,-0.208551,-0.145664,NA,-0.179923,-0.179923,-0.155154,-0.168809
