"","Label","Type","Reference Model","01. L","02. CL","03. CL_Fr","04. CLA_fixed","05. CLA_fixed_recs","06. RefMod_Dir","07. RefMod_McI","08. RefMod_noDWt","09. Catch67original","10. HistCatchMin","11. HistCatchMax","12. Sex=3","13. CARE_AE"
"76",NA,"Main_RecrDev_1976",-0.0907049,NA,NA,NA,NA,-0.142331,-0.0677998,-0.0475361,-0.0907049,-0.06514,-0.0599436,-0.0680245,-0.087738,0.0837842
"77",NA,"Main_RecrDev_1977",-0.179923,NA,NA,NA,NA,-0.228498,-0.160181,-0.117935,-0.179923,-0.157783,-0.153121,-0.160367,-0.177383,-0.0761154
"78",NA,"Main_RecrDev_1978",-0.284908,NA,NA,NA,NA,-0.329495,-0.267691,-0.200979,-0.284908,-0.265548,-0.261588,-0.267746,-0.282809,-0.226233
"79",NA,"Main_RecrDev_1979",-0.354411,NA,NA,NA,NA,-0.396911,-0.339387,-0.259355,-0.354411,-0.337396,-0.333879,-0.339353,-0.352587,-0.303058
"80",NA,"Main_RecrDev_1980",-0.359111,NA,NA,NA,NA,-0.402345,-0.34696,-0.270204,-0.359111,-0.345021,-0.341778,-0.346838,-0.357432,-0.300706
"81",NA,"Main_RecrDev_1981",-0.302918,NA,NA,NA,NA,-0.347552,-0.295424,-0.23795,-0.302918,-0.293498,-0.290152,-0.295381,-0.301429,-0.242467
"82",NA,"Main_RecrDev_1982",-0.231931,NA,NA,NA,NA,-0.262425,-0.232851,-0.199366,-0.231931,-0.231007,-0.227354,-0.233074,-0.230833,-0.20275
"83",NA,"Main_RecrDev_1983",-0.222491,NA,NA,NA,NA,-0.219631,-0.23562,-0.206367,-0.222491,-0.233947,-0.230098,-0.236128,-0.221805,-0.249492
"84",NA,"Main_RecrDev_1984",-0.285679,NA,NA,NA,NA,-0.273971,-0.309588,-0.262109,-0.285679,-0.307873,-0.304073,-0.310023,-0.284846,-0.354901
"85",NA,"Main_RecrDev_1985",-0.331319,NA,NA,NA,NA,-0.363662,-0.362942,-0.303647,-0.331319,-0.36093,-0.357111,-0.363089,-0.32997,-0.419959
"86",NA,"Main_RecrDev_1986",-0.29754,NA,NA,NA,NA,-0.383739,-0.336157,-0.287764,-0.29754,-0.33426,-0.330131,-0.336599,-0.296614,-0.367041
